family,n_proteins,cluster_type
Ferredoxin_4Fe4S,4681,4Fe-4S
Rieske,4266,2Fe-2S
Molybdoenzyme,2683,4Fe-4S
Radical_SAM,2511,4Fe-4S
WhiB,2200,4Fe-4S
Ferredoxin_2Fe2S,2159,2Fe-2S
NADH_dehydrogenase,722,2Fe-2S/4Fe-4S
Rieske_steroid_oxygenase,598,2Fe-2S
SUF_biogenesis,556,assembly
SDH_FRD,407,2Fe-2S/4Fe-4S
Glutamate_synthase,396,3Fe-4S
IspG_HMBPP_synthase,273,4Fe-4S
Ferredoxin_reductase_FprB,273,FAD/2Fe-2S
Radical_SAM_MoaA,270,4Fe-4S
FeS_reductase_CCG,259,4Fe-4S
Rieske_nitrite_reductase,251,2Fe-2S
Radical_SAM_MiaB,223,4Fe-4S
Rieske_QcrA,202,2Fe-2S
Nitrite_sulfite_reductase,201,4Fe-4S
DNA_glycosylase_MutY,187,4Fe-4S
DNA_glycosylase_Nth,172,4Fe-4S
IPM_isomerase_LeuC,161,4Fe-4S
SerA_dehydrogenase,136,4Fe-4S
Radical_SAM_PqqE,131,4Fe-4S
Radical_SAM_RlmN,125,4Fe-4S
Radical_SAM_HemN,104,4Fe-4S
Radical_SAM_LipA,102,4Fe-4S
Aconitase,90,4Fe-4S
Radical_SAM_BioB,56,4Fe-4S
FbiC_FO_synthase,38,4Fe-4S
CobG_precorrin,19,4Fe-4S
FadH_dienoyl_CoA,12,4Fe-4S
Serine_dehydratase,10,4Fe-4S
DUF779_FeS_candidate,6,4Fe-4S
