family,n_genomes_present,prevalence_pct,category
Aconitase,277,100.0,core
IPM_isomerase_LeuC,277,100.0,core
Glutamate_synthase,277,100.0,core
Ferredoxin_4Fe4S,277,100.0,core
SUF_biogenesis,277,100.0,core
WhiB,277,100.0,core
SDH_FRD,277,100.0,core
Quinolinate_synthase_NadA,277,100.0,core
Radical_SAM,277,100.0,core
Ferredoxin_2Fe2S,276,99.6,core
IspH_LytB,276,99.6,core
Rieske,276,99.6,core
Nitrite_sulfite_reductase,275,99.3,core
NADH_dehydrogenase,275,99.3,core
Molybdoenzyme,275,99.3,core
SufU_assembly,274,98.9,core
Ferredoxin_reductase_FprB,273,98.6,core
IspG_HMBPP_synthase,272,98.2,core
Dihydroxyacid_dehydratase_IlvD,271,97.8,core
DNA_glycosylase_Nth,268,96.8,core
Radical_SAM_MoaA,267,96.4,core
Rieske_steroid_oxygenase,261,94.2,accessory
FeS_reductase_CCG,259,93.5,accessory
ThiC,256,92.4,accessory
Rieske_nitrite_reductase,248,89.5,accessory
DNA_glycosylase_MutY,236,85.2,accessory
CDGSH_NEET,230,83.0,accessory
Radical_SAM_MiaB,223,80.5,accessory
Rieske_QcrA,202,72.9,accessory
FhuF_siderophore_reductase,200,72.2,accessory
SerA_dehydrogenase,135,48.7,accessory
Radical_SAM_PqqE,131,47.3,accessory
Radical_SAM_RlmN,125,45.1,accessory
NifU_assembly,116,41.9,accessory
Radical_SAM_HemN,104,37.5,accessory
Radical_SAM_LipA,102,36.8,accessory
Serine_dehydratase,96,34.7,accessory
Radical_SAM_BioB,56,20.2,accessory
FbiC_FO_synthase,38,13.7,accessory
PhnJ_CP_lyase,24,8.7,rare
CobG_precorrin,19,6.9,rare
FadH_dienoyl_CoA,12,4.3,rare
DUF779_FeS_candidate,6,2.2,rare
Aldehyde_Fd_oxidoreductase,3,1.1,rare
