functional_category,n_proteins,pct
"Electron transfer",7348,25.5
"Energy metabolism",6621,23.0
"Anaerobic respiration",2683,9.3
"Diverse catalysis",2514,8.7
"Redox regulation",2200,7.6
"Amino acid metabolism",1349,4.7
"Cofactor biosynthesis",1264,4.4
"Fe-S biogenesis",970,3.4
"Assimilation",666,2.3
"Lipid metabolism",610,2.1
"Isoprenoid biosynthesis",558,1.9
"DNA repair",504,1.8
"Central metabolism",407,1.4
"Redox",259,0.9
"Nitrogen metabolism",251,0.9
"tRNA modification",223,0.8
"Iron acquisition",213,0.7
"rRNA modification",125,0.4
"Phosphonate metabolism",24,0.1
