GCF_025331195.1	Mycobacterium llatzerense
GCF_002356335.1	Mycobacterium stephanolepidis
GCF_020181615.2	Mycobacterium crassicus
GCF_010723305.1	Mycobacterium botniense
GCF_030499155.1	Mycobacterium frederiksbergense_A
GCF_018455725.1	Mycobacterium acidiphilum
GCF_000195855.1	Mycobacterium leprae
GCF_010728155.1	Mycobacterium doricum
GCF_019645815.1	Mycobacterium heraklionense
GCF_025822865.1	Mycobacterium paraffinicum
GCF_900637195.1	Mycobacterium aurum
GCF_002086515.1	Mycobacterium arupense
GCF_000526915.1	Mycobacterium genavense
GCF_002013895.1	Mycobacterium franklinii
GCF_001552715.1	Mycobacterium vaccae
GCF_002102175.1	Mycobacterium gastri
GCF_016592155.1	Mycobacterium heckeshornense
GCF_001667375.1	Mycobacterium sinense_A
GCF_000069185.1	Mycobacterium abscessus
GCF_900292015.1	Mycobacterium basiliense
GCF_025822765.1	Mycobacterium barrassiae
GCF_026242035.1	Mycobacterium pinniadriaticum
GCF_010726765.1	Mycobacterium gallinarum
GCF_010727475.1	Mycobacterium mageritense
GCF_000613245.1	Mycobacterium asiaticum
GCF_002086735.1	Mycobacterium scrofulaceum
GCF_041890355.1	Mycobacterium hainanense
GCF_010727605.1	Mycobacterium simiae
GCF_002705925.1	Mycobacterium ostraviense
GCF_000157895.3	Mycobacterium kansasii
GCF_002104765.1	Mycobacterium vulneris
GCF_025821585.1	Mycobacterium hippocampi
GCF_020172685.2	Mycobacterium nativiensis
GCF_039729195.1	Mycobacterium hippocampi_A
GCF_019456655.1	Mycobacterium diernhoferi
GCF_015689175.1	Mycobacterium kubicae
GCF_001570425.1	Mycobacterium brisbanense
GCF_002101885.1	Mycobacterium senuense
GCF_050205415.1	Mycobacterium litorale_C
GCF_022370835.2	Mycobacterium parakoreense
GCF_003201655.1	Mycobacterium moriokaense_A
GCF_003855255.1	Mycobacterium nivoides
GCF_010731675.1	Mycobacterium marseillense
GCF_031583025.2	Mycobacterium gordonae_B
GCF_002102255.1	Mycobacterium nebraskense
GCF_025345615.1	Mycobacterium deserti
GCF_010729665.1	Mycobacterium madagascariense
GCF_010731895.1	Mycobacterium helvum
GCF_002838065.1	Mycobacterium hubeiense
GCF_002101595.1	Mycobacterium celatum
GCA_900078775.1	Mycobacterium aurum_A
GCF_004014805.1	Mycobacterium elephantis
GCF_001672755.1	Mycobacterium colombiense_C
GCF_910591625.1	Mycobacterium methanotrophicum
GCF_001632805.1	Mycobacterium chelonae
GCF_003284925.1	Mycobacterium algericum_A
GCF_014218295.1	Mycobacterium litorale_B
GCF_000612725.1	Mycobacterium austroafricanum
GCF_019710635.1	Mycobacterium xanthum
GCF_002101675.1	Mycobacterium gordonae
GCF_010730355.1	Mycobacterium florentinum
GCF_010728725.1	Mycobacterium branderi
GCF_002101815.1	Mycobacterium paraense
GCF_018278905.1	Mycobacterium spongiae
GCF_014190915.1	Mycobacterium iranicum_B
GCF_010731775.1	Mycobacterium mantenii
GCF_025823105.1	Mycobacterium porcinum
GCF_025822145.1	Mycobacterium frederiksbergense
GCF_010730575.1	Mycobacterium parmense
GCF_010730055.1	Mycobacterium shinjukuense
GCF_022760805.1	Mycobacterium alkanivorans
GCF_001053185.1	Mycobacterium bohemicum
GCF_900187065.1	Mycobacterium thermoresistibile
GCF_010729105.1	Mycobacterium saskatchewanense
GCF_010725725.1	Mycobacterium pulveris
GCF_003408705.1	Mycobacterium uberis
GCF_002245615.1	Mycobacterium neumannii_A
GCF_002086455.1	Mycobacterium algericum
GCF_001665785.1	Mycobacterium peregrinum_A
GCA_965234515.1	Mycobacterium aquicola
GCF_001605725.1	Mycobacterium immunogenum
GCF_001570485.1	Mycobacterium novocastrense
GCF_900566055.1	Mycobacterium innocens
GCF_001583415.1	Mycobacterium phlei
GCF_900566085.1	Mycobacterium attenuatum
GCF_004924335.1	Mycobacterium salmoniphilum
GCF_017876775.1	Mycobacterium lutetiense
GCF_001953985.1	Mycobacterium colombiense_B
GCF_010730955.1	Mycobacterium aubagnense
GCF_010729305.1	Mycobacterium psychrotolerans
GCF_000455325.1	Mycobacterium septicum
GCF_009936235.1	Mycobacterium xenopi
GCF_001457595.1	Mycobacterium smegmatis
GCF_019645855.1	Mycobacterium malmoense
GCF_943913955.1	Mycobacterium bacteremicum_A
GCF_050632215.1	Mycobacterium psychrotolerans_A
GCF_010731535.1	Mycobacterium lacus
GCF_963378095.1	Mycobacterium burgundiense
GCF_050205645.1	Mycobacterium heidelbergense_A
GCF_030252325.1	Mycobacterium wuenschmannii
GCF_001667945.1	Mycobacterium sinense_B
GCF_002250655.1	Mycobacterium sphagni
GCF_010727945.1	Mycobacterium cookii
GCF_001665835.1	Mycobacterium colombiense_A
GCF_010726085.1	Mycobacterium moriokaense
GCA_003347205.1	Mycobacterium moriokaense_B
GCF_000317305.3	Mycobacterium neoaurum_A
GCF_010731815.2	Mycobacterium arabiense
GCF_963378085.1	Mycobacterium wendilense
GCF_010726955.1	Mycobacterium fallax
GCF_963378105.1	Mycobacterium holstebronense
GCF_902705885.1	Mycobacterium vanbaalenii_A
GCF_001668675.1	Mycobacterium asiaticum_D
GCF_900078685.2	Mycobacterium icosiumassiliensis
GCF_900157375.1	Mycobacterium rhizamassiliense
