family	n_in_Mtb	essentiality
Radical_SAM	9	non-essential
WhiB	7	mixed
Ferredoxin_4Fe4S	6	mixed
NADH_dehydrogenase	6	growth-defect
Molybdoenzyme	5	non-essential
SDH_FRD	3	growth-defect
Nitrite_sulfite_reductase	2	non-essential
Rieske	2	non-essential
SUF_biogenesis	2	essential
Ferredoxin_2Fe2S	2	non-essential
IspH_LytB	2	essential
Serine_dehydratase	1	non-essential
Rieske_nitrite_reductase	1	non-essential
FeS_reductase_CCG	1	non-essential
DUF779_FeS_candidate	1	unknown
Radical_SAM_PqqE	1	non-essential
Radical_SAM_MoaA	1	growth-defect
Ferredoxin_reductase_FprB	1	non-essential
FadH_dienoyl_CoA	1	non-essential
Aconitase	1	essential
Radical_SAM_BioB	1	essential
CobG_precorrin	1	non-essential
Rieske_QcrA	1	essential
Radical_SAM_LipA	1	essential
Radical_SAM_HemN	1	essential
Radical_SAM_MiaB	1	non-essential
IspG_HMBPP_synthase	1	essential
IPM_isomerase_LeuC	1	essential
SerA_dehydrogenase	1	non-essential
DNA_glycosylase_MutY	1	non-essential
FbiC_FO_synthase	1	non-essential
Glutamate_synthase	1	essential
Dihydroxyacid_dehydratase_IlvD	1	essential
ThiC	1	essential
SufU_assembly	1	essential
Quinolinate_synthase_NadA	1	essential
DNA_glycosylase_Nth	1	non-essential
