family	ptm
aconitase	0.94
aldehyde_fd_oxidoreductase	0.93
cdgsh_neet	0.67
cobg_precorrin	0.94
dihydroxyacid_dehydratase_ilvd	0.95
dna_glycosylase_muty	0.91
dna_glycosylase_nth	0.94
duf779_fes_candidate	0.87
fadh_dienoyl_coa	0.97
fbic_fo_synthase	0.91
ferredoxin_2fe2s	0.64
ferredoxin_4fe4s	0.85
ferredoxin_reductase_fprb	0.94
fes_reductase_ccg	0.82
fhuf_siderophore_reductase	0.89
glutamate_synthase	0.97
ipm_isomerase_leuc	0.96
ispg_hmbpp_synthase	0.91
isph_lytb	0.94
molybdoenzyme	0.92
nadh_dehydrogenase	0.95
nifu_assembly	0.48
nitrite_sulfite_reductase	0.96
phnj_cp_lyase	0.9
quinolinate_synthase_nada	0.94
radical_sam	0.95
radical_sam_biob	0.86
radical_sam_hemn	0.94
radical_sam_lipa	0.95
radical_sam_miab	0.89
radical_sam_moaa	0.9
radical_sam_pqqe	0.86
radical_sam_rlmn	0.95
rieske	0.92
rieske_nitrite_reductase	0.88
rieske_qcra	0.76
rieske_steroid_oxygenase	0.93
sdh_frd	0.91
sera_dehydrogenase	0.75
serine_dehydratase	0.93
suf_biogenesis	0.92
sufu_assembly	0.92
thic	0.91
whib	0.81
