,aconitase,aldehyde_fd_oxidoreductase,cdgsh_neet,cobg_precorrin,dihydroxyacid_dehydratase_ilvd,dna_glycosylase_muty,dna_glycosylase_nth,duf779_fes_candidate,fadh_dienoyl_coa,fbic_fo_synthase,ferredoxin_2fe2s,ferredoxin_4fe4s,ferredoxin_reductase_fprb,fes_reductase_ccg,fhuf_siderophore_reductase,glutamate_synthase,ipm_isomerase_leuc,ispg_hmbpp_synthase,isph_lytb,molybdoenzyme,nadh_dehydrogenase,nifu_assembly,nitrite_sulfite_reductase,phnj_cp_lyase,quinolinate_synthase_nada,radical_sam,radical_sam_biob,radical_sam_hemn,radical_sam_lipa,radical_sam_miab,radical_sam_moaa,radical_sam_pqqe,radical_sam_rlmn,rieske,rieske_nitrite_reductase,rieske_qcra,rieske_steroid_oxygenase,sdh_frd,sera_dehydrogenase,serine_dehydratase,suf_biogenesis,sufu_assembly,thic,whib
aconitase,1.0,0.23776,0.05115,0.15838,0.24498,0.14802,0.1183,0.09487,0.22922,0.19799,0.22598,0.05119,0.23721,0.23052,0.12349,0.20177,0.44843,0.18487,0.17078,0.15108,0.19566,0.10782,0.19897,0.14402,0.19371,0.17013,0.14716,0.17322,0.15301,0.23183,0.16997,0.17293,0.15811,0.18419,0.07522,0.14231,0.15874,0.123,0.2031,0.18606,0.17326,0.08671,0.19909,0.06523
aldehyde_fd_oxidoreductase,0.23776,1.0,0.07324,0.26545,0.29913,0.20139,0.19326,0.13545,0.26489,0.24398,0.25326,0.07021,0.25237,0.28542,0.17768,0.27598,0.24303,0.21835,0.1968,0.22949,0.23472,0.15599,0.29899,0.19012,0.23343,0.21364,0.19106,0.24182,0.1863,0.27621,0.21077,0.22643,0.21388,0.2172,0.1057,0.18015,0.21293,0.17156,0.21625,0.23652,0.20653,0.13261,0.27535,0.10307
cdgsh_neet,0.05115,0.07324,1.0,0.3304,0.38383,0.28097,0.26975,0.26519,0.31699,0.28401,0.29803,0.22314,0.29897,0.30638,0.30416,0.31363,0.33398,0.40311,0.26347,0.30679,0.39585,0.30838,0.34962,0.27896,0.27916,0.28621,0.27463,0.29485,0.26963,0.31352,0.27448,0.33595,0.24555,0.29415,0.3142,0.30677,0.30306,0.36147,0.35466,0.28545,0.34436,0.35284,0.36557,0.27354
cobg_precorrin,0.15838,0.26545,0.3304,1.0,0.3532,0.29292,0.25666,0.17468,0.33325,0.32722,0.32879,0.12338,0.30051,0.30837,0.22188,0.32723,0.28887,0.34456,0.24332,0.27444,0.27546,0.23044,0.86439,0.25112,0.25791,0.27646,0.25445,0.28627,0.23145,0.27667,0.29053,0.29553,0.24884,0.2932,0.15651,0.2077,0.28943,0.24106,0.29669,0.28735,0.26274,0.18973,0.28148,0.14979
dihydroxyacid_dehydratase_ilvd,0.24498,0.29913,0.38383,0.3532,1.0,0.20654,0.16788,0.12836,0.28949,0.26875,0.27566,0.07681,0.23047,0.2779,0.22072,0.2694,0.29856,0.20667,0.19099,0.19271,0.2395,0.15094,0.29047,0.21863,0.22866,0.26724,0.23646,0.238,0.21448,0.24911,0.23094,0.25589,0.2713,0.22223,0.09651,0.18129,0.22419,0.17654,0.31441,0.26651,0.25682,0.1326,0.24868,0.11293
dna_glycosylase_muty,0.14802,0.20139,0.28097,0.29292,0.20654,1.0,0.60369,0.17847,0.3254,0.30623,0.27617,0.13521,0.32194,0.33008,0.23556,0.31665,0.27919,0.2885,0.31976,0.30003,0.31808,0.21446,0.35866,0.28055,0.31274,0.29133,0.28107,0.27684,0.26454,0.32725,0.30661,0.31807,0.28036,0.26338,0.15694,0.21484,0.28126,0.24058,0.30105,0.32819,0.30564,0.20683,0.28476,0.15563
dna_glycosylase_nth,0.1183,0.19326,0.26975,0.25666,0.16788,0.60369,1.0,0.26,0.39748,0.29561,0.36763,0.16213,0.33081,0.40249,0.28464,0.34569,0.37624,0.37929,0.33237,0.33195,0.34734,0.26478,0.33517,0.27739,0.32894,0.2954,0.29815,0.33678,0.29956,0.32599,0.31246,0.33101,0.3438,0.30666,0.20215,0.2672,0.3064,0.32208,0.32605,0.38666,0.29982,0.24802,0.33993,0.2112
duf779_fes_candidate,0.09487,0.13545,0.26519,0.17468,0.12836,0.17847,0.26,1.0,0.29967,0.29942,0.29824,0.1731,0.33807,0.30252,0.28281,0.31167,0.33491,0.29176,0.3156,0.3082,0.34638,0.24407,0.33948,0.2764,0.27958,0.29154,0.28895,0.28748,0.26563,0.29708,0.30014,0.33084,0.321,0.34628,0.26728,0.3037,0.35042,0.29849,0.34697,0.32994,0.33459,0.26673,0.31447,0.23513
fadh_dienoyl_coa,0.22922,0.26489,0.31699,0.33325,0.28949,0.3254,0.39748,0.29967,1.0,0.26264,0.27573,0.05962,0.4303,0.29212,0.16203,0.44026,0.24919,0.33688,0.23013,0.18431,0.26193,0.12547,0.23785,0.18702,0.2215,0.2729,0.29968,0.28708,0.23905,0.2574,0.26294,0.29467,0.25207,0.19616,0.08976,0.1318,0.19348,0.16503,0.26421,0.21795,0.2084,0.11882,0.34237,0.08908
fbic_fo_synthase,0.19799,0.24398,0.28401,0.32722,0.26875,0.30623,0.29561,0.29942,0.26264,1.0,0.30955,0.07347,0.25438,0.28494,0.18255,0.23975,0.28665,0.24322,0.22093,0.21425,0.26978,0.1624,0.28382,0.20686,0.24839,0.27749,0.26158,0.2794,0.27793,0.30465,0.25006,0.27683,0.24354,0.24149,0.12204,0.17286,0.1973,0.16087,0.33193,0.27949,0.23469,0.1557,0.30148,0.11305
ferredoxin_2fe2s,0.22598,0.25326,0.29803,0.32879,0.27566,0.27617,0.36763,0.29824,0.27573,0.30955,1.0,0.0671,0.25338,0.26811,0.15123,0.21316,0.24376,0.21056,0.1863,0.18693,0.24144,0.13084,0.24533,0.19428,0.16568,0.20189,0.19028,0.21283,0.18297,0.21535,0.18756,0.19479,0.20671,0.1712,0.09698,0.15803,0.16716,0.14782,0.23908,0.24625,0.20895,0.11632,0.23703,0.08844
