DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Fe-S families
COLOR	#ff0000
FIELD_LABELS	Aconitase	Aldehyde_Fd_oxidoreductase	CDGSH_NEET	CobG_precorrin	DNA_glycosylase_MutY	DNA_glycosylase_Nth	DUF779_FeS_candidate	Dihydroxyacid_dehydratase_IlvD	FadH_dienoyl_CoA	FbiC_FO_synthase	FeS_reductase_CCG	Ferredoxin_2Fe2S	Ferredoxin_4Fe4S	Ferredoxin_reductase_FprB	FhuF_siderophore_reductase	Glutamate_synthase	IPM_isomerase_LeuC	IspG_HMBPP_synthase	IspH_LytB	Molybdoenzyme	NADH_dehydrogenase	NifU_assembly	Nitrite_sulfite_reductase	PhnJ_CP_lyase	Quinolinate_synthase_NadA	Radical_SAM	Radical_SAM_BioB	Radical_SAM_HemN	Radical_SAM_LipA	Radical_SAM_MiaB	Radical_SAM_MoaA	Radical_SAM_PqqE	Radical_SAM_RlmN	Rieske	Rieske_QcrA	Rieske_nitrite_reductase	Rieske_steroid_oxygenase	SDH_FRD	SUF_biogenesis	SerA_dehydrogenase	Serine_dehydratase	SufU_assembly	ThiC	WhiB
DATA
GCA_000230935.2	1	0	1	0	1	1	0	0	0	0	1	14	30	1	0	2	1	1	1	14	6	0	3	0	1	11	0	0	0	1	1	0	1	26	0	1	2	1	2	0	0	1	1	11
GCA_001942045.1	2	0	1	0	1	1	0	1	0	0	1	6	19	1	1	2	1	1	1	14	3	0	2	0	1	7	0	0	1	1	1	1	1	18	1	1	2	2	2	0	1	1	1	8
GCA_002007745.1	2	0	1	0	1	1	0	2	0	0	1	12	13	1	0	1	2	0	1	10	6	3	2	0	1	8	0	0	0	1	1	1	0	21	0	0	1	1	2	0	1	0	1	7
GCA_002102225.1	1	0	1	1	1	1	0	1	0	0	1	5	19	1	1	1	2	1	1	9	9	0	2	0	1	7	1	1	0	1	1	1	1	19	1	1	3	2	2	1	0	1	1	11
GCA_003347205.1	2	0	1	0	1	1	0	1	0	0	1	17	26	1	0	2	1	1	1	16	8	0	2	0	1	12	0	0	0	1	1	0	0	35	1	1	3	1	2	0	2	1	1	11
GCA_014204435.1	1	0	0	0	0	1	0	1	0	0	0	5	7	1	1	1	1	1	1	8	2	1	2	0	1	7	1	0	0	1	1	0	0	3	0	1	0	1	2	0	0	1	1	6
GCA_021654635.1	1	0	1	0	1	1	0	1	0	0	1	6	21	1	1	1	1	1	1	8	9	1	2	0	1	8	1	1	1	1	1	1	1	18	0	1	3	2	2	1	0	1	1	9
GCA_024758765.1	3	0	1	0	1	1	0	1	0	0	1	2	9	1	1	1	1	1	1	9	3	1	3	0	1	7	0	0	0	0	1	1	0	6	0	1	1	1	2	0	0	1	1	7
GCA_900078775.1	1	0	1	0	1	1	0	2	0	0	0	15	24	1	0	2	1	0	1	14	5	0	2	0	1	8	0	0	0	1	1	0	1	23	1	1	2	2	2	0	0	1	1	8
GCA_965234515.1	1	0	1	0	1	1	0	1	0	0	1	5	7	1	0	1	1	1	1	4	4	1	1	0	1	8	0	0	0	0	1	0	0	6	0	0	0	1	2	0	0	1	0	9
GCF_000069185.1	1	0	1	0	0	1	0	2	0	1	0	4	6	1	1	1	1	1	1	13	5	1	2	0	1	4	1	0	1	1	1	1	1	6	0	1	1	1	2	1	0	1	1	10
GCF_000157895.3	2	0	0	0	1	1	0	1	0	0	1	5	21	1	1	1	1	1	1	8	9	2	4	0	1	17	0	1	1	1	1	0	1	15	1	1	2	2	2	1	0	1	1	11
GCF_000164135.1	1	0	1	0	1	1	0	1	0	0	0	7	26	1	0	1	1	1	1	7	8	1	3	0	1	9	1	1	1	1	1	1	1	18	1	1	3	2	2	1	0	1	1	9
GCF_000195855.1	1	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	4	0	0	1	1	0	0	0	1	1	0	0	1	2	1	1	1	1	5
GCF_000195955.2	1	0	0	1	1	1	1	1	1	1	1	2	6	1	0	1	1	1	2	5	6	0	2	0	1	9	1	1	1	1	1	1	0	2	1	1	0	3	2	1	1	1	1	7
GCF_000230895.2	2	0	1	0	1	1	0	1	0	0	1	13	23	1	0	2	1	1	1	12	6	1	2	0	1	9	0	0	0	1	1	0	0	29	0	1	3	1	2	1	0	1	1	8
GCF_000243415.2	1	0	1	0	1	1	0	2	0	0	1	11	18	1	0	2	1	1	1	13	9	2	2	0	1	11	0	0	0	1	2	0	0	21	0	1	3	1	2	1	0	1	1	13
GCF_000266905.1	1	0	1	0	1	1	0	1	0	0	1	11	19	1	0	2	1	1	1	12	6	1	3	0	1	10	0	0	0	1	1	0	0	16	1	1	2	1	2	0	1	1	2	9
GCF_000277125.1	1	0	1	0	1	1	0	1	0	1	1	5	17	1	1	1	1	1	1	11	6	0	3	0	1	10	0	1	1	1	1	1	1	15	1	1	4	2	2	1	0	1	1	6
GCF_000317305.3	1	0	1	0	1	1	0	2	0	0	1	11	11	1	1	2	1	1	1	10	2	0	2	0	1	9	0	0	0	1	1	0	0	11	1	1	1	2	2	0	0	1	1	7
GCF_000340435.2	1	0	0	0	1	1	0	1	0	0	1	1	9	1	0	1	1	1	1	5	7	1	2	0	1	8	1	1	1	1	1	1	0	2	1	1	0	1	2	1	1	1	1	7
GCF_000455325.1	2	0	1	0	1	1	0	1	0	0	1	10	22	1	1	2	1	1	1	13	4	0	2	0	1	8	0	0	1	1	1	0	1	17	1	1	2	2	2	1	1	1	1	9
GCF_000526915.1	1	0	1	0	0	1	0	1	0	0	1	5	13	1	1	1	2	1	1	6	7	1	2	0	1	6	0	1	0	1	1	1	0	10	1	0	1	1	2	1	0	1	1	7
GCF_000559085.1	1	0	1	0	1	1	0	1	0	0	1	6	25	1	0	2	1	1	1	11	6	1	2	0	1	8	0	0	0	1	1	0	1	31	0	0	2	1	2	0	0	1	1	9
GCF_000612725.1	1	0	1	0	1	1	0	1	0	0	1	9	23	1	0	2	1	1	1	11	6	0	3	1	1	11	0	0	0	1	1	1	0	20	1	1	2	1	2	0	0	1	1	8
GCF_000613185.1	1	0	1	0	0	1	0	3	0	0	1	11	17	1	1	2	2	1	1	11	7	0	3	0	1	10	0	0	0	1	1	0	1	17	1	1	1	2	2	0	1	1	1	9
GCF_000613245.1	3	0	1	0	1	1	0	1	0	0	1	10	13	1	1	1	1	1	1	9	6	0	3	0	1	6	1	1	1	1	1	1	1	20	1	1	3	2	2	1	0	1	1	10
GCF_000689255.1	1	0	1	0	0	1	0	1	0	0	1	5	23	1	1	1	1	1	1	10	7	1	2	0	1	9	1	1	0	1	1	1	1	24	1	1	4	2	2	1	0	1	1	9
GCF_000691525.1	1	0	0	0	1	1	0	2	0	0	1	11	15	1	1	2	1	1	1	11	3	0	2	0	1	10	0	0	0	1	1	0	0	15	1	1	1	2	2	0	0	1	1	7
GCF_000805385.1	1	0	1	0	0	1	0	1	0	0	1	6	19	1	2	2	1	1	1	13	3	0	2	0	1	9	0	0	1	1	1	0	1	14	1	1	2	2	2	1	1	1	1	8
GCF_000975265.2	1	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	1	0	1	5	0	1	1	1	0	0	0	0	1	0	0	1	2	1	1	1	1	4
GCF_001044235.1	1	0	1	0	1	1	0	2	0	0	1	9	21	1	0	2	1	1	1	14	8	1	3	0	1	12	0	0	0	1	1	0	0	16	1	1	1	1	2	0	2	1	0	12
GCF_001044255.1	2	0	1	0	1	1	0	1	0	0	1	6	20	1	0	2	1	1	1	11	7	1	3	0	1	9	0	0	0	0	1	0	0	14	1	1	1	1	2	0	1	1	0	10
GCF_001053185.1	2	0	1	0	1	0	0	1	0	0	1	5	21	1	0	1	1	1	1	8	8	0	3	0	1	8	0	1	0	1	1	0	0	17	1	1	4	2	2	1	0	1	1	10
GCF_001187505.1	3	0	1	0	1	1	0	7	1	0	1	14	14	1	1	2	2	1	2	9	7	0	2	1	1	9	0	1	1	1	1	1	1	17	1	1	1	2	2	1	1	1	2	6
GCF_001245615.1	2	0	1	0	1	1	0	1	0	0	0	6	23	1	1	2	1	1	1	14	3	0	2	0	1	9	0	0	1	1	1	1	1	17	1	1	2	2	2	1	1	1	1	9
GCF_001456355.1	1	0	0	0	0	1	0	1	0	0	0	4	7	1	1	1	1	1	1	9	2	1	2	0	1	7	1	0	0	1	1	0	0	5	0	1	1	1	2	1	0	1	1	7
GCF_001457595.1	2	0	1	1	1	1	1	4	1	0	1	10	17	1	1	2	3	1	1	15	9	0	2	0	1	11	1	1	1	1	1	1	1	22	1	1	2	2	2	1	1	1	2	6
