genome	locus	family	cluster_type	provenance	functional_category	subsystem	redox_role	virulence_link
GCA_000230935.2	IIHJLC_00039	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_000230935.2	IIHJLC_00063	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_000230935.2	IIHJLC_00303	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_00352	Glutamate_synthase	3Fe-4S	core_validated	Amino acid metabolism	Glutamate synthase (GOGAT)	catalytic	
GCA_000230935.2	IIHJLC_00479	Radical_SAM_RlmN	4Fe-4S	core_validated	rRNA modification	rRNA methylation (rlmN)	radical_catalysis	
GCA_000230935.2	IIHJLC_00488	IspG_HMBPP_synthase	4Fe-4S	core_validated	Isoprenoid biosynthesis	MEP pathway (ispG)	catalytic_4Fe4S	essential_MEP
GCA_000230935.2	IIHJLC_00493	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_00559	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_00606	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_00615	Radical_SAM_MiaB	4Fe-4S	core_validated	tRNA modification	tRNA methylthiolation (miaB)	radical_catalysis	
GCA_000230935.2	IIHJLC_00808	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_00849	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_000230935.2	IIHJLC_00869	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_000230935.2	IIHJLC_00972	Rieske_steroid_oxygenase	2Fe-2S	core_validated	Lipid metabolism	Cholesterol/steroid catabolism	oxygenase	cholesterol_catabolism_virulence
GCA_000230935.2	IIHJLC_00978	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_00987	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_01004	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_01154	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_01165	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_01361	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_01394	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_000230935.2	IIHJLC_01397	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_000230935.2	IIHJLC_01398	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_000230935.2	IIHJLC_01432	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_000230935.2	IIHJLC_01710	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_01849	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_01850	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_000230935.2	IIHJLC_02080	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_02099	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_02169	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_000230935.2	IIHJLC_02306	SUF_biogenesis	assembly	core_validated	Fe-S biogenesis	SUF assembly machinery	assembly	essential_SUF_operon
