shared name	genome_locus	family	cluster_type	provenance
zzz1000	GCF_010725885.1|ICIIAA_04327	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1001	GCF_010725885.1|ICIIAA_04773	Rieske	2Fe-2S	core_validated
zzz1002	GCF_010725885.1|ICIIAA_05146	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1003	GCF_010726085.1|IDCKIK_00077	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1004	GCF_010726085.1|IDCKIK_00821	Rieske	2Fe-2S	core_validated
zzz1005	GCF_010726085.1|IDCKIK_01022	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1006	GCF_010726085.1|IDCKIK_01033	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1007	GCF_010726085.1|IDCKIK_01035	Rieske	2Fe-2S	core_validated
zzz1008	GCF_010726085.1|IDCKIK_02699	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1009	GCF_010726085.1|IDCKIK_03764	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1010	GCF_010726085.1|IDCKIK_03895	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1011	GCF_010726085.1|IDCKIK_04813	Rieske	2Fe-2S	core_validated
zzz1012	GCF_010726085.1|IDCKIK_05677	Rieske	2Fe-2S	core_validated
zzz1013	GCF_010726085.1|IDCKIK_05678	Rieske	2Fe-2S	core_validated
zzz1014	GCF_010726085.1|IDCKIK_05686	Rieske	2Fe-2S	core_validated
zzz1015	GCF_010726085.1|IDCKIK_05704	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1016	GCF_010726085.1|IDCKIK_05711	Molybdoenzyme	4Fe-4S	core_validated
zzz1017	GCF_010726085.1|IDCKIK_05869	Rieske	2Fe-2S	core_validated
zzz1018	GCF_010726245.1|HAAHEE_02692	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1019	GCF_010726245.1|HAAHEE_04193	Rieske	2Fe-2S	core_validated
zzz1020	GCF_010726645.1|MGLGKM_00414	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1021	GCF_010726645.1|MGLGKM_01905	Rieske	2Fe-2S	core_validated
zzz1022	GCF_010726645.1|MGLGKM_01911	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1023	GCF_010726645.1|MGLGKM_01915	Rieske	2Fe-2S	core_validated
zzz1024	GCF_010726645.1|MGLGKM_01939	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1025	GCF_010726645.1|MGLGKM_01942	Rieske	2Fe-2S	core_validated
