DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Total Fe-S
COLOR	#1f78b4
DATA
GCA_000230935.2	138
GCA_001942045.1	108
GCA_002007745.1	105
GCA_002102225.1	114
GCA_003347205.1	155
GCA_014204435.1	60
GCA_021654635.1	113
GCA_024758765.1	71
GCA_900078775.1	124
GCA_965234515.1	62
GCF_000069185.1	78
GCF_000157895.3	121
GCF_000164135.1	118
GCF_000195855.1	32
GCF_000195955.2	72
GCF_000230895.2	129
GCF_000243415.2	127
GCF_000266905.1	113
GCF_000277125.1	106
GCF_000317305.3	89
GCF_000340435.2	68
GCF_000455325.1	116
GCF_000526915.1	82
GCF_000559085.1	122
GCF_000612725.1	117
GCF_000613185.1	114
GCF_000613245.1	111
GCF_000689255.1	121
GCF_000691525.1	99
GCF_000805385.1	104
GCF_000975265.2	34
GCF_001044235.1	121
GCF_001044255.1	104
GCF_001053185.1	108
GCF_001187505.1	122
GCF_001245615.1	114
GCF_001456355.1	65
GCF_001457595.1	135
GCF_001552715.1	120
GCF_001570425.1	132
GCF_001570485.1	123
GCF_001583415.1	101
GCF_001605725.1	76
GCF_001632805.1	70
GCF_001644575.1	108
GCF_001650495.1	105
GCF_001665625.1	112
GCF_001665785.1	117
GCF_001665835.1	108
GCF_001667375.1	80
GCF_001667865.1	118
GCF_001667885.1	114
GCF_001667945.1	74
GCF_001668675.1	110
GCF_001672755.1	107
GCF_001672775.1	96
GCF_001673315.1	98
GCF_001673365.1	103
GCF_001673565.1	80
GCF_001673635.1	108
GCF_001907675.1	127
GCF_001942625.1	99
GCF_001953985.1	114
GCF_002013895.1	77
GCF_002086115.1	106
GCF_002086125.1	111
GCF_002086275.1	126
GCF_002086285.1	79
GCF_002086455.1	82
GCF_002086485.1	134
GCF_002086515.1	68
GCF_002086635.1	115
GCF_002086675.1	113
GCF_002086695.1	106
GCF_002086735.1	129
GCF_002086795.1	122
GCF_002086815.1	119
GCF_002101555.1	96
GCF_002101585.1	85
GCF_002101595.1	95
GCF_002101675.1	123
GCF_002101705.1	103
GCF_002101735.1	102
GCF_002101775.1	79
GCF_002101815.1	112
GCF_002101885.1	79
GCF_002101965.1	127
GCF_002102155.1	123
GCF_002102175.1	108
GCF_002102185.1	93
GCF_002102255.1	135
GCF_002102265.1	78
GCF_002102345.1	120
GCF_002102355.1	109
GCF_002102395.1	64
GCF_002104765.1	125
GCF_002104795.1	69
GCF_002105755.1	115
GCF_002116635.1	120
GCF_002157835.1	133
GCF_002245535.1	114
GCF_002245615.1	96
GCF_002250655.1	116
GCF_002356315.1	103
GCF_002356335.1	72
GCF_002553505.1	137
GCF_002591975.1	121
GCF_002592005.1	119
GCF_002705925.1	113
GCF_002838065.1	98
GCF_003201655.1	112
GCF_003254575.1	100
GCF_003284925.1	85
GCF_003284935.1	106
GCF_003284975.1	104
GCF_003391395.1	106
GCF_003408705.1	43
GCF_003614435.1	127
GCF_003719305.1	130
GCF_003855255.1	115
GCF_004014805.1	106
GCF_004924335.1	67
GCF_005670685.2	110
GCF_006439015.1	101
GCF_006864685.1	112
GCF_007714205.1	118
GCF_008329645.1	93
GCF_008370645.1	82
GCF_009741445.1	99
GCF_009936235.1	97
GCF_010723305.1	84
GCF_010723575.1	124
GCF_010725725.1	117
GCF_010725885.1	98
GCF_010726085.1	129
GCF_010726245.1	107
GCF_010726645.1	110
GCF_010726765.1	127
GCF_010726955.1	78
GCF_010727125.1	78
GCF_010727325.1	103
GCF_010727475.1	124
GCF_010727605.1	101
GCF_010727945.1	93
GCF_010728155.1	67
GCF_010728325.1	112
GCF_010728725.1	120
GCF_010728925.1	124
GCF_010729105.1	124
GCF_010729305.1	109
GCF_010729485.1	85
GCF_010729665.1	94
GCF_010729895.1	123
GCF_010730055.1	75
GCF_010730195.1	113
GCF_010730355.1	121
GCF_010730575.1	120
GCF_010730745.1	96
GCF_010730955.1	107
GCF_010731115.1	87
GCF_010731295.1	113
GCF_010731535.1	84
GCF_010731575.1	128
GCF_010731595.1	114
GCF_010731615.1	85
GCF_010731635.1	97
GCF_010731655.1	124
GCF_010731675.1	106
GCF_010731695.1	98
GCF_010731715.1	122
GCF_010731755.1	63
GCF_010731775.1	137
GCF_010731795.1	99
GCF_010731815.2	97
GCF_010731855.1	102
GCF_010731875.1	72
GCF_010731895.1	111
GCF_011758805.1	120
GCF_013404075.1	124
GCF_013466425.1	125
GCF_014190915.1	105
GCF_014218295.1	96
GCF_015689175.1	107
GCF_015710575.1	95
GCF_016313185.1	104
GCF_016592155.1	97
GCF_016767715.1	72
GCF_017086405.1	120
GCF_017876775.1	101
GCF_018278905.1	83
GCF_018455725.1	62
GCF_019050325.1	98
GCF_019456655.1	112
GCF_019645815.1	84
GCF_019645835.1	115
GCF_019645855.1	100
GCF_019645875.1	110
GCF_019668465.1	118
GCF_019710635.1	109
GCF_020172685.2	95
GCF_020181595.2	81
GCF_020181615.2	82
GCF_020181635.2	84
GCF_021916785.1	114
GCF_022179545.1	114
GCF_022370635.2	128
GCF_022370755.2	120
GCF_022370835.2	76
GCF_022374875.2	113
GCF_022374895.2	114
GCF_022374935.2	81
GCF_022430545.2	97
GCF_022760805.1	75
GCF_024320865.1	113
GCF_025215495.1	63
GCF_025331195.1	104
GCF_025345615.1	103
GCF_025821585.1	122
GCF_025821625.1	132
GCF_025822145.1	126
GCF_025822245.1	98
GCF_025822405.1	119
GCF_025822605.1	111
GCF_025822705.1	119
GCF_025822765.1	106
GCF_025822865.1	111
GCF_025822885.1	91
GCF_025822985.1	95
GCF_025823105.1	131
GCF_025823185.1	110
GCF_025823255.1	106
GCF_025823315.1	112
GCF_026242035.1	132
GCF_029893345.1	110
GCF_030252325.1	84
GCF_030499155.1	108
GCF_030519285.1	98
GCF_031583025.2	117
GCF_032883035.1	133
GCF_036946495.1	88
GCF_036946525.1	88
GCF_039729195.1	122
GCF_041206865.1	115
GCF_041287165.2	103
GCF_041890355.1	108
GCF_046250095.1	79
GCF_048452905.1	92
GCF_050205315.1	95
GCF_050205415.1	99
GCF_050205485.1	105
GCF_050205545.1	97
GCF_050205645.1	99
GCF_050632215.1	111
GCF_900078685.2	79
GCF_900108565.1	109
GCF_900157375.1	120
GCF_900157385.1	113
GCF_900176255.2	118
GCF_900187065.1	100
GCF_900232995.1	99
GCF_900292015.1	104
GCF_900454025.1	109
GCF_900566055.1	122
GCF_900566075.1	114
GCF_900566085.1	113
GCF_900603025.1	107
GCF_900637195.1	101
GCF_900637205.1	125
GCF_902705885.1	128
GCF_910591625.1	89
GCF_943913955.1	103
GCF_963378075.1	77
GCF_963378085.1	112
GCF_963378095.1	116
GCF_963378105.1	80
GCF_963853645.1	97
GCF_963853665.1	92
