node_id	fine_family	super_family
GCA_000230935.2|IIHJLC_00039	WhiB	WhiB
GCA_000230935.2|IIHJLC_00063	WhiB	WhiB
GCA_000230935.2|IIHJLC_00303	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_00808	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_000230935.2|IIHJLC_01004	Molybdoenzyme	Molybdoenzyme
GCA_000230935.2|IIHJLC_01361	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_01394	Radical_SAM	Radical_SAM
GCA_000230935.2|IIHJLC_01397	Radical_SAM	Radical_SAM
GCA_000230935.2|IIHJLC_01398	Radical_SAM	Radical_SAM
GCA_000230935.2|IIHJLC_01432	WhiB	WhiB
GCA_000230935.2|IIHJLC_02080	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_02099	Molybdoenzyme	Molybdoenzyme
GCA_000230935.2|IIHJLC_02367	Molybdoenzyme	Molybdoenzyme
GCA_000230935.2|IIHJLC_02471	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_000230935.2|IIHJLC_02632	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_02638	Rieske	Rieske
GCA_000230935.2|IIHJLC_02963	Rieske	Rieske
GCA_000230935.2|IIHJLC_03144	DNA_glycosylase	DNA_glycosylase
GCA_000230935.2|IIHJLC_03747	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_04017	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_04101	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_04747	Molybdoenzyme	Molybdoenzyme
GCA_000230935.2|IIHJLC_04758	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_000230935.2|IIHJLC_04782	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_04783	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_000230935.2|IIHJLC_04981	Radical_SAM	Radical_SAM
GCA_000230935.2|IIHJLC_05066	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_05990	Molybdoenzyme	Molybdoenzyme
GCA_000230935.2|IIHJLC_05994	Rieske	Rieske
GCA_000230935.2|IIHJLC_06074	Molybdoenzyme	Molybdoenzyme
GCA_000230935.2|IIHJLC_06240	WhiB	WhiB
GCA_000230935.2|IIHJLC_06319	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_000230935.2|IIHJLC_06322	Rieske	Rieske
GCA_000230935.2|IIHJLC_06351	Rieske	Rieske
GCA_000230935.2|IIHJLC_06431	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_06439	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_06520	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_06649	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_000230935.2|IIHJLC_06714	Rieske	Rieske
GCA_000230935.2|IIHJLC_06816	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_06856	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_000230935.2|IIHJLC_07002	Rieske	Rieske
GCA_001942045.1|COCIBI_00038	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_001942045.1|COCIBI_00039	Rieske	Rieske
GCA_001942045.1|COCIBI_00816	Molybdoenzyme	Molybdoenzyme
GCA_001942045.1|COCIBI_01728	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_001942045.1|COCIBI_02098	Rieske	Rieske
GCA_001942045.1|COCIBI_03092	WhiB	WhiB
GCA_001942045.1|COCIBI_04565	Rieske	Rieske
GCA_001942045.1|COCIBI_05131	Molybdoenzyme	Molybdoenzyme
GCA_001942045.1|COCIBI_06017	Rieske	Rieske
GCA_002007745.1|HNDBBG_00479	WhiB	WhiB
GCA_002007745.1|HNDBBG_00872	Rieske	Rieske
GCA_002007745.1|HNDBBG_01149	Rieske	Rieske
GCA_002007745.1|HNDBBG_01235	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_002007745.1|HNDBBG_02088	Radical_SAM	Radical_SAM
GCA_002007745.1|HNDBBG_02984	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_002007745.1|HNDBBG_03205	Rieske	Rieske
GCA_002007745.1|HNDBBG_03258	Radical_SAM	Radical_SAM
GCA_002007745.1|HNDBBG_03275	Rieske	Rieske
GCA_002007745.1|HNDBBG_03689	Rieske	Rieske
GCA_002007745.1|HNDBBG_03703	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_002007745.1|HNDBBG_03816	Rieske	Rieske
GCA_002007745.1|HNDBBG_03975	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_002007745.1|HNDBBG_04341	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_002007745.1|HNDBBG_04531	Rieske	Rieske
GCA_002007745.1|HNDBBG_04537	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_002007745.1|HNDBBG_05298	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_002007745.1|HNDBBG_05301	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_002007745.1|HNDBBG_05308	Rieske	Rieske
GCA_002007745.1|HNDBBG_05999	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_002007745.1|HNDBBG_06013	Rieske	Rieske
GCA_002102225.1|HDDDIK_00050	WhiB	WhiB
GCA_002102225.1|HDDDIK_02068	WhiB	WhiB
GCA_002102225.1|HDDDIK_02248	WhiB	WhiB
GCA_002102225.1|HDDDIK_03235	WhiB	WhiB
GCA_002102225.1|HDDDIK_03375	Rieske	Rieske
GCA_002102225.1|HDDDIK_03771	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_002102225.1|HDDDIK_05304	WhiB	WhiB
GCA_002102225.1|HDDDIK_05595	WhiB	WhiB
GCA_003347205.1|ENJDEI_00235	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_003347205.1|ENJDEI_00242	Rieske	Rieske
GCA_003347205.1|ENJDEI_00458	WhiB	WhiB
GCA_003347205.1|ENJDEI_00542	Rieske	Rieske
GCA_003347205.1|ENJDEI_00549	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_003347205.1|ENJDEI_00552	Radical_SAM	Radical_SAM
GCA_003347205.1|ENJDEI_00554	Radical_SAM	Radical_SAM
GCA_003347205.1|ENJDEI_00557	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_003347205.1|ENJDEI_00561	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
